p_id,p_name,p_id_shop,p_shop_name,p_brand,p_categories,p_day_created,p_sold_quantity,p_original_price,p_current_price,p_discount_rate
5980477,Bình Ngâm Rượu Kim Cương Thủy Tinh 8833 Có Van,72116.0,MimiShoping,OEM,Bình đựng nước,1540.0,910,139000,139000,0
143644945,"Decal dán tường ngày tết Hoa Mai, Hoa Đào Sticker Decal Trang Trí Tết",2684.0,HKT Home Shopping,ZOOYOO,Decal & giấy dán tường,405.0,148,70000,40000,43
141230683,Hạt xốp làm đầy ghế lười - HXWBCK,239917.0,CUCKOO BEAN BAG,OEM,Bàn ghế các loại,413.0,79,108000,108000,0
54478757,"Đèn Bàn Học Đọc Sách, Làm Việc (Học Sinh, Sinh Viên, Văn Phòng) LED Chống Cận, Cảm Ứng Tích Điện Pin 3200mAh eLights TD-618",97355.0,Future Store,eLights,Nhà Cửa - Đời Sống,965.0,1818,300000,249000,17
173768367,"Hộp đựng đồ chia ngăn sắp xếp quần áo Danido - Khay đựng đồ 7 ngăn tiện ích, chất liệu cao cấp",34473.0,Danido Store,miDoctor,Tủ,274.0,319,150000,77800,48
207197323,"Túi treo túi xách đồ dùng đa năng, Túi treo giỏ xách, bóp ví 6 ngăn chống bụi bẩn có móc treo xoay 360 độ - Chính hãng JYoohome",249634.0,Homebox Store,JYooHome,Tủ,41.0,33,100000,60000,40
116191376,"Nhang trầm hương tự nhiên Thiên Mộc Hương 30cm, Ít Khói, Thơm Nhẹ, Dễ Chịu, Không kích mũi",1795.0,Thiên Mộc Hương Official Store,Thiên Mộc Hương,"Hương, nhang",471.0,325,396000,297000,25
161455577,Đui đèn cảm biến chuyển động,258659.0,Pin Bom Shop,OEM,Root,328.0,21,54000,54000,0
125968190,"Đèn Ngủ Để Bàn Mặt Trăng, Đèn Trang Trí Decor - Điều Chỉnh Độ Sáng Theo Ý Muốn - Hàng Chính Hãng - VinBuy",109746.0,VinBuy,VinBuy,Đèn ngủ,463.0,84,250000,125000,50
78025846,Khăn tắm Bamboo Life BL058 hàng chính hãng được làm từ sợi tre thiên nhiên mềm mại kháng khuẩn siêu thấm hút an toàn cho da,152044.0,Bamboo Life Official Store,Bamboo Life,Khăn,677.0,2363,59000,59000,0
50272433,"Đèn LED Bóng Tròn Pha Lê Bọt Khí Trang Trí Lễ Tết, Sinh Nhật, Nhà Cửa - Nhiều Kích Cỡ",17480.0,Ghế Nam Việt,OEM,Đèn khác,1029.0,414,69000,69000,0
90530495,"Đèn Pixar, Đèn Bàn Học Chống Cận Thị, Đèn Đọc Sách, Đèn Làm Việc Bảo Vệ Mắt - Hàng Chính Hãng Moontronics MT01",97355.0,Future Store,Moontronics,Đèn bàn,,537,310000,259000,16
198057044,Dây Đèn LED Edison S14 Năng Lượng Mặt Trời Chống Nước Trang Trí Ngoài Trời - Chính Hãng NAVIVU,17480.0,Ghế Nam Việt,NAVIVU,Đèn ngoài trời,106.0,14,660000,660000,0
104681323,Màng bọc PE chấm đứt 60m (M) (Tặng thêm màng bọc 30m) MyJae,190794.0,MyJae Flagship Store,MyJae,Màng bọc thực phẩm,573.0,498,99000,55000,44
54156958,Pin Sạc Energizer AAA 700mAh Power Plus,1242.0,"Vo Hoang Trading Co.,Ltd",Energizer,Nhà Cửa - Đời Sống,966.0,371,145000,145000,0
143779168,Thảm ngủ cá nhân văn phòng ,160163.0,K KRISHNA,Krishna,Chiếu,404.0,654,25000,25000,0
52260520,Pin AA Energizer LR6 AM3 1.5V,11618.0,MYMYMART,Energizer,Nhà Cửa - Đời Sống,1001.0,1278,39000,39000,0
149376396,"Túi peva SmileBox size lớn bọc nhiều bộ quần áo treo tủ chống thấm, chống bụi, có khóa kéo đôi tiện lợi nhiều size ngắn dài 90cm 110cm- Hàng chính hãng",10380.0,PhuKienMini,SmileBox,Tủ,386.0,55,105000,103000,2
183254388,"Ô (Dù) Tự Động 2 Chiều Cao Cấp Teement, Che Mưa, Che Nắng, Chống UV - Hàng Chính Hãng",147879.0,Thanh Giàu,TEEMENT,"Áo mưa, ô dù và phụ kiện đi mưa",218.0,52,175000,175000,0
36935892,Combo 10 khăn lau bếp đa năng - KL29 (Giao ngẫu nhiên mẫu),134133.0,An Vũ Techcom,OEM,Nhà Cửa - Đời Sống,1171.0,39,15000,15000,0
159236996,Bật lửa điện độc lạ tạo 4 tia plasma chóng gió sạc pin độc đáo,184269.0,Quang Duy Plasma,OEM,"Than, cồn & Dụng cụ mồi lửa",352.0,112,129000,119300,8
59149834,"Giường xếp đa năng, giường tre gấp gọn",169565.0,SharkDecorrHN,OEM,Nội thất phòng ngủ khác,877.0,0,1900000,1900000,0
133846119,"Hộp Cơm Giữ Nhiệt, Hộp Cà Men Inox SEASY SS35, Giữ Nhiệt Thức Ăn Lâu Hơn, 2 Lớp Cách Nhiệt, Thiết Kế Nắp Chống Tràn, An Toàn Sức Khỏe, Tặng Kèm Túi Giữ Nhiệt, Hộp Đựng Bộ Đũa Thìa, Miếng Cọ Rửa Tiện Lợi– Hàng Chính Hãng",195068.0,SEASY TECH STORE,SeaSy,Hộp đựng thực phẩm,436.0,240,389000,255000,34
21006786,Kệ Giày Dép 6 Tầng Rộng 60cm,16412.0,nolulu shop,OEM,Nhà Cửa - Đời Sống,1288.0,65,788200,600000,24
87941678,Sạc pin Camelion BC-0904 sạc được pin AA/AAA/9V,1242.0,"Vo Hoang Trading Co.,Ltd",Camelion,Máy sạc pin,639.0,31,190000,190000,0
2873653,Kệ Đỡ Màn Hình Máy Tính Monitor Stand Plyconcept MSM01004 ( 490 x 200 mm) - Gỗ Sồi,1303.0,MipuMade,Plyconcept,Kệ & Tủ,1644.0,915,380000,290000,24
181972379,"Chậu Xông Vùng Kín Sau Sinh, Chậu xông hơi vùng kín Gấp Gọn, gắn bồn cầu, bô xông vùng kín Tiện Lợi kèm Vòi xịt phụ khoa",308556.0,Gia Dụng Đời Sống Tiện Ích,OEM,Root,229.0,0,120000,120000,0
52785428,"Chốt khóa cửa trượt an toàn cho văn phòng, căn hộ, khách sạn chống mở từ ngoài - HOBBY KCT1",20023.0,Hobby Home Decor,Hobby Home Decor,Ổ khóa,992.0,210,125000,85000,32
26602007,Kẹp Bẫy Bắt Chuột Thông Minh,54154.0,hoangvietstore,OEM,Dụng cụ diệt côn trùng khác,1230.0,2,9900,9900,0
131894766,Dao thái thịt bò siêu mỏng - thép Nhật -Không rỉ-Chuôi gỗ hương,232776.0,Shop dao le ngoc,OEM,Dao các loại,442.0,16,135000,120000,11
76369610,Ca lọc cặn dầu bằng thép không gỉ - Chính hãng (Giao ngẫu nhiên),163615.0,HIBARWELL,BARWELL,Nhà Cửa - Đời Sống,709.0,201,195000,185000,5
198619155,Hộp Vải Đa Năng Gấp Gọn Có Khung Thép Nhiều Hoa Văn - Chính Hãng NAVIVU,17480.0,Ghế Nam Việt,NAVIVU,Tủ,99.0,6,139000,139000,0
34574806,"BƠM ĐIỆN 2 CHIỀU DÙNG BƠM PHAO, BỂ PHAO, NỆM HƠI",298269.0,ThuyDungShop2002,OEM,Khác,1185.0,0,80000,80000,0
52578184,"Tuýp Keo Dán Đồ Gia Dụng Siêu Dính, Keo Dán Kim Loại Cao Cấp",189795.0,MarryStore,OEM,Khác,996.0,504,15000,15000,0
166448776,"Tấm lót bình hoa, lọ hoa, bình trà, lót ly, chén bằng nhựa ren chống thấm",268454.0,Chun Decor,OEM,Root,307.0,70,20000,15000,25
198119267,"Lót ly giấy tiện dụng, lót ly thấm hút nước, sử dụng cho gia đình, tổ chức sự kiện. Tấm lót cốc cao cấp",157002.0,Cây kiểng Thạnh Xuân,OEM,Root,106.0,18,1500,1500,0
173971270,"Kệ chén bát 2 tầng trên bồn rửa tiện lợi VANDO bằng thép carbon cao cấp không gỉ, giá úp bát, kệ để chén sạch sẽ nhà bếp",157549.0,Vando Official Store,VANDO,Kệ nhà bếp,273.0,50,1199000,799000,33
138534630,Tủ quần áo KATA 5 tầng - Nhựa Talopa,238272.0,PHÚ MỸ furniture,Duy Tân,Tủ,421.0,435,1260000,1045000,17
96271704,"Ổ Cắm Điện Thông Minh XSmart Đa Tính Năng Chống Giật Hàng Siêu Cao Cấp,  Chống Cháy Nổ Chịu Được Công Suất Cao, Chính Hãng",152209.0,XSmart Official Store,XSmart,"Ổ cắm, ổn áp, biến áp",604.0,822,169000,139000,18
70684212,BG Ghế lưới làm việc ghế xoay văn phòng cao cấp mới 2020 Mẫu B200 BLACK (hàng nhập khẩu),1409.0,BG Việt Nam Official Store,BG,Bàn ghế làm việc,809.0,1409,969000,511200,47
79323086,"Đèn Ngủ kiêm Đèn Chiếu Ngàn Sao 6 phong cách xoay tự động, tích hợp phát nhạc bằng Bluetooth nhiều hiệu ứng, sạc bằng USB",133565.0,SmartTech-Shop,SPEVI,Đèn ngủ,672.0,205,380000,196000,48
57335326,"Ghế xếp thư giãn SUMIKA 179A - Khóa kim loại, khung thép tròn, tải trọng 200kg",283011.0,Gia dụng Huy Linh,Sumika,Bàn ghế các loại,918.0,10,825000,825000,0
173999814,"Kem giảm mụn Viêm, mụn ẩn KLENZIT C (15g)",282193.0,BEAUTY CHOICE,OEM,Phụ kiện phòng ngủ khác,273.0,276,130000,130000,0
